Date : 2020-12-10 17:43:29
Directory : c:\Repos\rayex
Total : 4640 files,  856127 codes, 59708 comments, 59332 blanks, all 975167 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Repos\rayex\include\external\glm\detail\type_float.hpp                                                                                                  | C++          |         51 |          3 |         15 |         69 |
| c:\Repos\rayex\include\external\glm\detail\type_half.hpp                                                                                                   | C++          |         11 |          0 |          6 |         17 |
| c:\Repos\rayex\include\external\glm\detail\type_half.inl                                                                                                   | C++          |        121 |         80 |         41 |        242 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x2.hpp                                                                                                 | C++          |        120 |         11 |         47 |        178 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x2.inl                                                                                                 | C++          |        465 |          9 |         63 |        537 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x3.hpp                                                                                                 | C++          |        107 |         11 |         42 |        160 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x3.inl                                                                                                 | C++          |        445 |          9 |         57 |        511 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x4.hpp                                                                                                 | C++          |        109 |         11 |         42 |        162 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x4.inl                                                                                                 | C++          |        455 |          9 |         57 |        521 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x2.hpp                                                                                                 | C++          |        114 |         11 |         43 |        168 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x2.inl                                                                                                 | C++          |        467 |          9 |         57 |        533 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x3.hpp                                                                                                 | C++          |        127 |         11 |         47 |        185 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x3.inl                                                                                                 | C++          |        528 |          9 |         65 |        602 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x4.hpp                                                                                                 | C++          |        114 |         11 |         42 |        167 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x4.inl                                                                                                 | C++          |        513 |          9 |         57 |        579 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x2.hpp                                                                                                 | C++          |        119 |         11 |         42 |        172 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x2.inl                                                                                                 | C++          |        509 |          9 |         57 |        575 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x3.hpp                                                                                                 | C++          |        119 |         11 |         42 |        172 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x3.inl                                                                                                 | C++          |        533 |          9 |         57 |        599 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x4.hpp                                                                                                 | C++          |        132 |         11 |         47 |        190 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x4.inl                                                                                                 | C++          |        598 |         36 |         73 |        707 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x4_simd.inl                                                                                            | C++          |          3 |          1 |          3 |          7 |
| c:\Repos\rayex\include\external\glm\detail\type_quat.hpp                                                                                                   | C++          |        121 |         22 |         44 |        187 |
| c:\Repos\rayex\include\external\glm\detail\type_quat.inl                                                                                                   | C++          |        321 |         29 |         59 |        409 |
| c:\Repos\rayex\include\external\glm\detail\type_quat_simd.inl                                                                                              | C++          |        117 |         55 |         17 |        189 |
| c:\Repos\rayex\include\external\glm\detail\type_vec1.hpp                                                                                                   | C++          |        194 |         47 |         68 |        309 |
| c:\Repos\rayex\include\external\glm\detail\type_vec1.inl                                                                                                   | C++          |        453 |         13 |         86 |        552 |
| c:\Repos\rayex\include\external\glm\detail\type_vec2.hpp                                                                                                   | C++          |        285 |         21 |         94 |        400 |
| c:\Repos\rayex\include\external\glm\detail\type_vec2.inl                                                                                                   | C++          |        779 |         13 |        122 |        914 |
| c:\Repos\rayex\include\external\glm\detail\type_vec3.hpp                                                                                                   | C++          |        313 |         24 |         96 |        433 |
| c:\Repos\rayex\include\external\glm\detail\type_vec3.inl                                                                                                   | C++          |        927 |         13 |        129 |      1,069 |
| c:\Repos\rayex\include\external\glm\detail\type_vec4.hpp                                                                                                   | C++          |        369 |         36 |        101 |        506 |
| c:\Repos\rayex\include\external\glm\detail\type_vec4.inl                                                                                                   | C++          |        966 |         13 |        162 |      1,141 |
| c:\Repos\rayex\include\external\glm\detail\type_vec4_simd.inl                                                                                              | C++          |        681 |          2 |         93 |        776 |
| c:\Repos\rayex\include\external\glm\exponential.hpp                                                                                                        | C++          |         24 |         74 |         13 |        111 |
| c:\Repos\rayex\include\external\glm\ext.hpp                                                                                                                | C++          |        227 |          3 |         24 |        254 |
| c:\Repos\rayex\include\external\glm\ext\matrix_clip_space.hpp                                                                                              | C++          |        137 |        336 |         50 |        523 |
| c:\Repos\rayex\include\external\glm\ext\matrix_clip_space.inl                                                                                              | C++          |        492 |          1 |         63 |        556 |
| c:\Repos\rayex\include\external\glm\ext\matrix_common.hpp                                                                                                  | C++          |         14 |         14 |          9 |         37 |
| c:\Repos\rayex\include\external\glm\ext\matrix_common.inl                                                                                                  | C++          |         14 |          0 |          3 |         17 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double2x2.hpp                                                                                               | C++          |          7 |         11 |          6 |         24 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double2x2_precision.hpp                                                                                     | C++          |         11 |         29 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double2x3.hpp                                                                                               | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double2x3_precision.hpp                                                                                     | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double2x4.hpp                                                                                               | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double2x4_precision.hpp                                                                                     | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double3x2.hpp                                                                                               | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double3x2_precision.hpp                                                                                     | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double3x3.hpp                                                                                               | C++          |          7 |         11 |          6 |         24 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double3x3_precision.hpp                                                                                     | C++          |         11 |         29 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double3x4.hpp                                                                                               | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double3x4_precision.hpp                                                                                     | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double4x2.hpp                                                                                               | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double4x2_precision.hpp                                                                                     | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double4x3.hpp                                                                                               | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double4x3_precision.hpp                                                                                     | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double4x4.hpp                                                                                               | C++          |          7 |         11 |          6 |         24 |
| c:\Repos\rayex\include\external\glm\ext\matrix_double4x4_precision.hpp                                                                                     | C++          |         11 |         29 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float2x2.hpp                                                                                                | C++          |          7 |         11 |          6 |         24 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float2x2_precision.hpp                                                                                      | C++          |         11 |         29 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float2x3.hpp                                                                                                | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float2x3_precision.hpp                                                                                      | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float2x4.hpp                                                                                                | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float2x4_precision.hpp                                                                                      | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float3x2.hpp                                                                                                | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float3x2_precision.hpp                                                                                      | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float3x3.hpp                                                                                                | C++          |          7 |         11 |          6 |         24 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float3x3_precision.hpp                                                                                      | C++          |         11 |         29 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float3x4.hpp                                                                                                | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float3x4_precision.hpp                                                                                      | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float4x2.hpp                                                                                                | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float4x2_precision.hpp                                                                                      | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float4x3.hpp                                                                                                | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float4x3_precision.hpp                                                                                      | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float4x4.hpp                                                                                                | C++          |          7 |         11 |          6 |         24 |
| c:\Repos\rayex\include\external\glm\ext\matrix_float4x4_precision.hpp                                                                                      | C++          |         11 |         29 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int2x2.hpp                                                                                                  | C++          |         10 |         21 |          8 |         39 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int2x2_sized.hpp                                                                                            | C++          |         17 |         39 |         15 |         71 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int2x3.hpp                                                                                                  | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int2x3_sized.hpp                                                                                            | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int2x4.hpp                                                                                                  | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int2x4_sized.hpp                                                                                            | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int3x2.hpp                                                                                                  | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int3x2_sized.hpp                                                                                            | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int3x3.hpp                                                                                                  | C++          |         10 |         21 |          8 |         39 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int3x3_sized.hpp                                                                                            | C++          |         17 |         39 |         15 |         71 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int3x4.hpp                                                                                                  | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int3x4_sized.hpp                                                                                            | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int4x2.hpp                                                                                                  | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int4x2_sized.hpp                                                                                            | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int4x3.hpp                                                                                                  | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int4x3_sized.hpp                                                                                            | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int4x4.hpp                                                                                                  | C++          |         10 |         21 |          8 |         39 |
| c:\Repos\rayex\include\external\glm\ext\matrix_int4x4_sized.hpp                                                                                            | C++          |         17 |         39 |         15 |         71 |
| c:\Repos\rayex\include\external\glm\ext\matrix_projection.hpp                                                                                              | C++          |         33 |        103 |         14 |        150 |
| c:\Repos\rayex\include\external\glm\ext\matrix_projection.inl                                                                                              | C++          |         85 |          1 |         21 |        107 |
| c:\Repos\rayex\include\external\glm\ext\matrix_relational.hpp                                                                                              | C++          |         29 |         87 |         17 |        133 |
| c:\Repos\rayex\include\external\glm\ext\matrix_relational.inl                                                                                              | C++          |         67 |          3 |         13 |         83 |
| c:\Repos\rayex\include\external\glm\ext\matrix_transform.hpp                                                                                               | C++          |         32 |         99 |         14 |        145 |
| c:\Repos\rayex\include\external\glm\ext\matrix_transform.inl                                                                                               | C++          |        132 |          0 |         21 |        153 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint2x2.hpp                                                                                                 | C++          |         10 |         21 |          8 |         39 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint2x2_sized.hpp                                                                                           | C++          |         17 |         39 |         15 |         71 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint2x3.hpp                                                                                                 | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint2x3_sized.hpp                                                                                           | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint2x4.hpp                                                                                                 | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint2x4_sized.hpp                                                                                           | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint3x2.hpp                                                                                                 | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint3x2_sized.hpp                                                                                           | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint3x3.hpp                                                                                                 | C++          |         10 |         21 |          8 |         39 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint3x3_sized.hpp                                                                                           | C++          |         17 |         39 |         15 |         71 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint3x4.hpp                                                                                                 | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint3x4_sized.hpp                                                                                           | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint4x2.hpp                                                                                                 | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint4x2_sized.hpp                                                                                           | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint4x3.hpp                                                                                                 | C++          |          9 |         18 |          7 |         34 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint4x3_sized.hpp                                                                                           | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint4x4.hpp                                                                                                 | C++          |         10 |         21 |          8 |         39 |
| c:\Repos\rayex\include\external\glm\ext\matrix_uint4x4_sized.hpp                                                                                           | C++          |         17 |         39 |         15 |         71 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_common.hpp                                                                                              | C++          |         30 |         91 |         15 |        136 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_common.inl                                                                                              | C++          |        107 |         14 |         24 |        145 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_common_simd.inl                                                                                         | C++          |         15 |          0 |          4 |         19 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_double.hpp                                                                                              | C++          |          9 |         23 |          8 |         40 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_double_precision.hpp                                                                                    | C++          |         11 |         22 |         10 |         43 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_exponential.hpp                                                                                         | C++          |         20 |         33 |         11 |         64 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_exponential.inl                                                                                         | C++          |         64 |          8 |         14 |         86 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_float.hpp                                                                                               | C++          |          9 |         23 |          8 |         40 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_float_precision.hpp                                                                                     | C++          |         11 |         16 |         10 |         37 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_geometric.hpp                                                                                           | C++          |         19 |         41 |         11 |         71 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_geometric.inl                                                                                           | C++          |         32 |          0 |          5 |         37 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_relational.hpp                                                                                          | C++          |         17 |         35 |         11 |         63 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_relational.inl                                                                                          | C++          |         31 |          0 |          5 |         36 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_transform.hpp                                                                                           | C++          |         13 |         28 |          7 |         48 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_transform.inl                                                                                           | C++          |         19 |          1 |          5 |         25 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_trigonometric.hpp                                                                                       | C++          |         19 |         35 |         10 |         64 |
| c:\Repos\rayex\include\external\glm\ext\quaternion_trigonometric.inl                                                                                       | C++          |         29 |          0 |          6 |         35 |
| c:\Repos\rayex\include\external\glm\ext\scalar_common.hpp                                                                                                  | C++          |         39 |         97 |         22 |        158 |
| c:\Repos\rayex\include\external\glm\ext\scalar_common.inl                                                                                                  | C++          |        130 |          1 |         22 |        153 |
| c:\Repos\rayex\include\external\glm\ext\scalar_constants.hpp                                                                                               | C++          |         15 |         16 |         10 |         41 |
| c:\Repos\rayex\include\external\glm\ext\scalar_constants.inl                                                                                               | C++          |         21 |          0 |          4 |         25 |
| c:\Repos\rayex\include\external\glm\ext\scalar_int_sized.hpp                                                                                               | C++          |         38 |         18 |         15 |         71 |
| c:\Repos\rayex\include\external\glm\ext\scalar_integer.hpp                                                                                                 | C++          |         29 |         50 |         14 |         93 |
| c:\Repos\rayex\include\external\glm\ext\scalar_integer.inl                                                                                                 | C++          |        208 |          0 |         36 |        244 |
| c:\Repos\rayex\include\external\glm\ext\scalar_packing.hpp                                                                                                 | C++          |          9 |         16 |          8 |         33 |
| c:\Repos\rayex\include\external\glm\ext\scalar_packing.inl                                                                                                 | C++          |          0 |          0 |          1 |          1 |
| c:\Repos\rayex\include\external\glm\ext\scalar_relational.hpp                                                                                              | C++          |         17 |         39 |         10 |         66 |
| c:\Repos\rayex\include\external\glm\ext\scalar_relational.inl                                                                                              | C++          |         32 |          2 |          7 |         41 |
| c:\Repos\rayex\include\external\glm\ext\scalar_uint_sized.hpp                                                                                              | C++          |         38 |         18 |         15 |         71 |
| c:\Repos\rayex\include\external\glm\ext\scalar_ulp.hpp                                                                                                     | C++          |         21 |         42 |         12 |         75 |
| c:\Repos\rayex\include\external\glm\ext\scalar_ulp.inl                                                                                                     | C++          |        250 |          7 |         28 |        285 |
| c:\Repos\rayex\include\external\glm\ext\vector_bool1.hpp                                                                                                   | C++          |          9 |         15 |          7 |         31 |
| c:\Repos\rayex\include\external\glm\ext\vector_bool1_precision.hpp                                                                                         | C++          |         11 |         15 |          9 |         35 |
| c:\Repos\rayex\include\external\glm\ext\vector_bool2.hpp                                                                                                   | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_bool2_precision.hpp                                                                                         | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\vector_bool3.hpp                                                                                                   | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_bool3_precision.hpp                                                                                         | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\vector_bool4.hpp                                                                                                   | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_bool4_precision.hpp                                                                                         | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\vector_common.hpp                                                                                                  | C++          |         46 |        134 |         25 |        205 |
| c:\Repos\rayex\include\external\glm\ext\vector_common.inl                                                                                                  | C++          |        111 |          0 |         19 |        130 |
| c:\Repos\rayex\include\external\glm\ext\vector_double1.hpp                                                                                                 | C++          |          9 |         16 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\vector_double1_precision.hpp                                                                                       | C++          |         11 |         17 |          9 |         37 |
| c:\Repos\rayex\include\external\glm\ext\vector_double2.hpp                                                                                                 | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_double2_precision.hpp                                                                                       | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\vector_double3.hpp                                                                                                 | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_double3_precision.hpp                                                                                       | C++          |          8 |         20 |          7 |         35 |
| c:\Repos\rayex\include\external\glm\ext\vector_double4.hpp                                                                                                 | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_double4_precision.hpp                                                                                       | C++          |          9 |         20 |          7 |         36 |
| c:\Repos\rayex\include\external\glm\ext\vector_float1.hpp                                                                                                  | C++          |          9 |         16 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\vector_float1_precision.hpp                                                                                        | C++          |         11 |         17 |          9 |         37 |
| c:\Repos\rayex\include\external\glm\ext\vector_float2.hpp                                                                                                  | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_float2_precision.hpp                                                                                        | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\vector_float3.hpp                                                                                                  | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_float3_precision.hpp                                                                                        | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\vector_float4.hpp                                                                                                  | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_float4_precision.hpp                                                                                        | C++          |          8 |         17 |          7 |         32 |
| c:\Repos\rayex\include\external\glm\ext\vector_int1.hpp                                                                                                    | C++          |          9 |         16 |          8 |         33 |
| c:\Repos\rayex\include\external\glm\ext\vector_int1_sized.hpp                                                                                              | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\vector_int2.hpp                                                                                                    | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_int2_sized.hpp                                                                                              | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\vector_int3.hpp                                                                                                    | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_int3_sized.hpp                                                                                              | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\vector_int4.hpp                                                                                                    | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_int4_sized.hpp                                                                                              | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\vector_integer.hpp                                                                                                 | C++          |         34 |         99 |         17 |        150 |
| c:\Repos\rayex\include\external\glm\ext\vector_integer.inl                                                                                                 | C++          |         65 |          0 |         21 |         86 |
| c:\Repos\rayex\include\external\glm\ext\vector_packing.hpp                                                                                                 | C++          |          9 |         16 |          8 |         33 |
| c:\Repos\rayex\include\external\glm\ext\vector_packing.inl                                                                                                 | C++          |          0 |          0 |          1 |          1 |
| c:\Repos\rayex\include\external\glm\ext\vector_relational.hpp                                                                                              | C++          |         25 |         68 |         15 |        108 |
| c:\Repos\rayex\include\external\glm\ext\vector_relational.inl                                                                                              | C++          |         62 |          3 |         11 |         76 |
| c:\Repos\rayex\include\external\glm\ext\vector_uint1.hpp                                                                                                   | C++          |          9 |         16 |          8 |         33 |
| c:\Repos\rayex\include\external\glm\ext\vector_uint1_sized.hpp                                                                                             | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\vector_uint2.hpp                                                                                                   | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_uint2_sized.hpp                                                                                             | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\vector_uint3.hpp                                                                                                   | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_uint3_sized.hpp                                                                                             | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\vector_uint4.hpp                                                                                                   | C++          |          6 |          8 |          5 |         19 |
| c:\Repos\rayex\include\external\glm\ext\vector_uint4_sized.hpp                                                                                             | C++          |         13 |         27 |         10 |         50 |
| c:\Repos\rayex\include\external\glm\ext\vector_ulp.hpp                                                                                                     | C++          |         25 |         71 |         14 |        110 |
| c:\Repos\rayex\include\external\glm\ext\vector_ulp.inl                                                                                                     | C++          |         67 |          0 |          8 |         75 |
| c:\Repos\rayex\include\external\glm\fwd.hpp                                                                                                                | C++          |      1,013 |         12 |        209 |      1,234 |
